seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Mid-Level,False,Bachelor's Degree in a relevant technical field such as computer science or equivalent years of practical work experience,['Python'],"['Recommendation Systems', 'Generative AI', 'Natural Language Processing', 'Computer Vision']","['TensorFlow', 'Caffe2', 'PyTorch', 'Spark ML', 'scikit-learn']",['Not mentioned'],"['Create models which help drive value for users, advertisers, and our company', 'Evaluate the technical tradeoffs of every decision', 'Perform code reviews and ensure exceptional code quality', 'Build robust, lasting, and scalable products']",['Social Media']
Mid-Level,False,"Masters or Advanced Degree in relevant field (data science, economics, trade), with at least 5 years of relevant professional experience in data science (or PhD degree in relevant field, and at least 2 years of relevant professional experience)","['Python', 'SQL']","['Supervised Learning', 'Unsupervised Learning', 'Natural Language Processing', 'Computer Vision']","['NumPy', 'Pandas', 'scikit-learn', 'TensorFlow', 'PyTorch', 'Databricks', 'PySpark', 'GitHub']",['Not mentioned'],"['Contribute to analytical studies relying on big data, such as the flagship Logistics Performance index (LPI).', 'Implement big data pipelines for processing data sets of various types and scales to generate insights.', 'Participate in the development of new knowledge products and instruments for country work.', 'Engage in policy dialogue with client countries and participate in lending projects.']","['Finance', 'Government']"
Mid-Level,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing', 'Multimodal Learning']","['PyTorch', 'Tensorflow']",['Not mentioned'],"['Fine-tune transformer-based models using automation pipelines.', 'Implement real-time fine-tuning pipelines in production environments.', 'Deploy machine learning models into production.', 'Monitor model performance and perform regular maintenance.']",['Software and Cloud']
Mid-Level,False,"Ph.D. degree in a quantitative field (e.g., computer science, industrial engineering, applied math, statistics) and 2+ years of industry experience on ML applications, or a M.S. degree in related fields and 5+ years of industry experience on ML applications.",['Python'],"['Graph Machine Learning', 'Anomaly Detection', 'Supervised Learning', 'Unsupervised Learning']","['GIT', 'Linux', 'Docker']",['Google Cloud Platform'],"['Solve customer and business problems using machine learning techniques like deep neural networks, graph ML, and anomaly detection.', 'Develop and implement end-to-end plans, including idea generation, project planning, model development, production model serving, and ownership of model performance.', 'Architect new and improve on existing ML systems, including building data architectures, enabling faster and more robust model development, and improving model serving and orchestration.', 'Conduct A/B experiments to validate the efficiency of ML models and pipelines.']",['E-commerce']
Mid-Level,False,"Bachelor's degree in Computer Science, Engineering, or related field","['C++', 'Python', 'Typescript']","['Supervised Learning', 'Reinforcement Learning', 'Computer Vision']","['YOLO', 'SAM']",['Not mentioned'],"['Design and implement systems that continuously improve the Waymo Driver', 'Collaborate with ML practitioners on models for perception, behavior prediction and planner', 'Develop automation to produce labels and find problematic label issues', 'Build large scale distributed systems for model training pipelines']",['Automotive']
Senior,False,PhD in a related field or 7+ years of experience otherwise,"['Python', 'SQL']","['Natural Language Processing', 'MLOps', 'Deep Learning', 'Predictive Modeling']","['PyTorch', 'TensorFlow', 'Docker', 'Kubernetes', 'Git', 'pytest']","['AWS', 'Snowflake']","['Develop and optimize ML pipelines for classification projects', 'Deploy and optimize diverse classification models', 'Take full responsibility for deployed ML systems', 'Build and maintain robust MLOps infrastructure']",['Consulting']
Not mentioned,False,"Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science","['SQL', 'R', 'Python', 'Java']","['Statistical Modeling', 'Deep Learning']","['TensorFlow', 'PyTorch', 'Hadoop', 'MapReduce', 'Tableau', 'Cognos', 'RDF/OWL', 'SPARQL']","['AWS', 'Azure']","['Develop innovative solutions to address data analytics challenges', 'Collect and process large volumes of data from varying sources', 'Perform data cleansing, transformation, interpretation, and inferencing', 'Communicate data-driven conclusions and recommendations to stakeholders']","['Government', 'Consulting']"
Mid-Level,False,"PhD or Master’s in Computer Science, Computer Engineering, Computer Vision, Robotics, or a related field—or equivalent experience.",['Python'],"['Generative AI', 'Computer Vision', 'Multimodal Learning']",['PyTorch'],['Not mentioned'],"['Develop and optimize machine learning solutions with cutting-edge architectures.', 'Enhance Firefly’s inferencing pipeline to power generative AI features.', 'Design GPU-optimized, efficient model pipelines for diverse modalities.', 'Ensure scalability and reliability of Firefly’s cloud services.']","['Software and Cloud', 'Advertising']"
Mid-Level,False,Bachelor's Degree in a relevant technical field such as computer science or equivalent years of practical work experience,['Python'],"['Recommendation Systems', 'Generative AI', 'Natural Language Processing', 'Computer Vision']","['TensorFlow', 'Caffe2', 'PyTorch', 'Spark ML', 'scikit-learn']",['Not mentioned'],"['Create models which help drive value for users, advertisers, and our company', 'Evaluate the technical tradeoffs of every decision', 'Perform code reviews and ensure exceptional code quality', 'Build robust, lasting, and scalable products']",['Social Media']
Not mentioned,False,"Master in CS/CE/EE, or equivalent, in industry experience",['Python'],"['Deep Learning', 'Autonomous Systems']","['PyTorch', 'PyTorch Lightning', 'Torchscript', 'Nvidia TensorRT']",['Not mentioned'],"['Design, train, and deploy large deep learning models', 'Leverage vast amounts of labeled and unlabeled data from a fleet of vehicles', 'Accelerate training and inference of transformer models']",['Automotive']
Senior,False,"Bachelor’s degree in computer science, mathematics, or related fields","['Python', 'SQL', 'Scala', 'Java']","['Supervised Learning', 'Deep Learning', 'Optimization']","['Spark', 'Snowflake', 'dbt', 'Databricks', 'scikit-learn', 'PyTorch', 'Keras', 'Github', 'Airflow', 'MLflow']",['AWS'],"['Feature engineering and optimization', 'Develop and deploy scalable streaming and batch data pipelines', 'Model development, deployment and optimization', 'Maintain existing and establish new development, testing, and deployment standards']",['Consulting']
Mid-Level,False,"Bachelor’s or Master’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field","['Python', 'R', 'SQL']","['Statistical Modeling', 'Predictive Modeling', 'Natural Language Processing']","['Tableau', 'Power BI', 'Not mentioned']",['Not mentioned'],"['Lead data science projects from inception to completion on topics such as consumption and revenue forecasts, digital advertising forecasts, global trends analysis, business performance trends, and more.', 'Apply advanced data analysis and statistical modeling techniques to address complex business challenges.', 'Develop and maintain production-level models, ensuring accuracy and efficiency.', 'Work closely with Business Intelligence, Strategy, Corporate Finance, and operators to understand business needs, and provide actionable insights to a diverse audience across the business.']",['Entertainment']
Mid-Level,False,M.S in ML/CS/EE or BS with equivalent ML experience,['Python'],"['Deep Learning', 'Natural Language Processing', 'Generative AI']","['Tensorflow', 'PyTorch']",['Not mentioned'],"['Develop, productionize, and operate ML models and pipelines at scale', 'Contribute to ML models at the intersection of Blockchain and AI technologies', 'Collaborate with product partners to identify and solve new use cases for ML on blockchain']",['Finance']
Senior,False,Not mentioned,"['PHP', 'Python', 'Ruby', 'Go', 'C', 'Scala', 'Java']","['Recommendation Systems', 'Generative AI', 'Natural Language Processing']","['PyTorch', 'TensorFlow', 'Keras', 'XGBoost', 'Scikit-learn', 'Apache Spark', 'Hadoop', 'EMR', 'Map Reduce', 'Airflow', 'Dagster', 'Luigi']",['Not mentioned'],"['Develop ML models supporting ranking, retrieval, and generative AI use-cases.', 'Produce high-quality results by leading or contributing heavily to large multi-functional projects.', 'Support in the development of sustainable data collection pipelines and management of ML features.', 'Mentor other engineers and deeply review code.']",['Software and Cloud']
Mid-Level,False,Master’s or PhD degree in Computer Science or related fields,"['Python', 'Go', 'SQL']","['Optimization', 'Predictive Modeling', 'Deep Learning', 'Recommendation Systems', 'MLOps']","['TensorFlow', 'PyTorch', 'Spark ML', 'MapReduce', 'Spark', 'Flink', 'Kafka']",['AWS'],"['Lead and deliver production-grade machine learning products from end to end', 'Design, develop, and deploy scalable machine learning models for optimization goals', 'Research and prototype new ML solutions and deploy into production', 'Collaborate with cross-functional teams to deliver new ML features']",['Advertising']
Senior,False,"Bachelor’s degree in a highly quantitative field (computer science, engineering, physics, math, operations research or related) or equivalent relevant professional experience","['Python', 'SQL']","['Supervised Learning', 'Unsupervised Learning', 'Reinforcement Learning', 'Deep Learning', 'MLOps']","['LangChain', 'TensorFlow', 'PyTorch', 'scikit-learn', 'Seldon-Core', 'KubeFlow', 'Prefect', 'Apache Airflow', 'MLFlow', 'Argo']",['GCP'],"['Leading the design and development of ML solutions as services', 'Mentoring and coaching junior ML Engineers', 'Applying software engineering skills to lead development and deployment of solutions', 'Partner with global cross-functional teams']","['Retail', 'Consumer Electronics']"
Mid-Level,False,"Bachelor's degree in Computer Science, Software Engineering, or related field","['Python', 'Golang']",['MLOps'],"['Docker', 'Kubernetes', 'Jenkins', 'GitLab CI', 'Terraform', 'CloudFormation', 'TensorFlow', 'PyTorch', 'Prometheus', 'Grafana', 'Git']","['AWS', 'GCP', 'Azure']","['Design, develop, and maintain AI services in our AI platform that powers all our AI products.', 'Implement and optimize CI/CD pipelines for machine learning model deployment.', 'Collaborate with ML Engineers and Applied Scientists to build efficient model serving systems.', 'Monitor system performance and implement improvements for scalability.']",['Software and Cloud']
Mid-Level,False,"Bachelor's or Master's degree in Computer Science, Engineering, or a related field",['Not mentioned'],"['Generative AI', 'MLOps']","['Docker', 'Kubernetes', 'Git', 'MLflow', 'Kubeflow']","['AWS', 'GCP', 'Azure']","['Develop the AI/ML platform and infrastructure for key ML use cases', 'Collaborate with cross-functional teams to integrate generative AI solutions', 'Stay updated with AI/ML advancements and incorporate them into the technology roadmap', 'Participate in strategic decisions related to AI directions and product roadmaps']","['Cybersecurity', 'Software and Cloud']"
Senior,False,"B.S., M.S. or Ph.D. in Computer Science or related technical field or relevant work experience",['Not mentioned'],"['Supervised Learning', 'Unsupervised Learning', 'Natural Language Processing']","['scikit', 'Pandas', 'Docker', 'Kubernetes']","['AWS', 'GCP']","['Design, build, train, and deploy machine learning models to detect sensitive data and malicious threats', 'Write production-level code to convert ML models into working pipelines', 'Architect scalable, reliable, and maintainable machine learning pipelines', 'Stay ahead of the curve by exploring new algorithms, technologies, and frameworks']",['Cybersecurity']
Early Career,False,"Bachelor’s degree in a quantitative field such as Statistics, Computer Science, Engineering, or related fields","['SQL', 'R', 'Python']","['Predictive Modeling', 'Time Series Analysis', 'Recommendation Systems']","['Tableau', 'Not mentioned']",['Not mentioned'],"['Develop and maintain acquisition and engagement dashboards to monitor user growth and campaign effectiveness', 'Assist in building predictive models to guide strategic decisions on acquisition and engagement', 'Analyze data to derive actionable insights that drive business decisions and performance improvements', 'Automate repetitive tasks and data processes to enhance team efficiency']",['Finance']
Mid-Level,False,Bachelor's degree and 2 or more years of professional experience,"['C++', 'C', 'C#', 'Java', 'Python', 'JavaScript']","['Simulation-Based Learning', 'Embedded ML']","['Git', 'JIRA', 'Confluence', 'Gitlab', 'VueJS', 'Ansible']",['Not mentioned'],"['Develop software solutions for flight simulators', 'Integrate new technologies into various systems', 'Support analysis of requirements, design, test and implementation of real-time software']","['Defense', 'Aerospace']"
Not mentioned,False,"Master’s or Ph.D. in Computer Science, Machine Learning, Bioinformatics, Computational Biology, or a related field",['Python'],"['Deep Learning', 'Natural Language Processing', 'Computer Vision', 'Generative AI', 'Reinforcement Learning']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'Docker', 'Kubernetes']","['AWS', 'GCP', 'Azure']","['Develop and deploy machine learning models for biological and biomedical data analysis.', 'Design and optimize deep learning architectures for applications such as drug discovery, medical imaging, and biomarker identification.', 'Implement scalable ML pipelines for data preprocessing, model training, and inference.', 'Contribute to the development of software tools and frameworks for machine learning applications in biotech.']","['Biotechnology', 'Pharmaceuticals']"
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Predictive Modeling', 'Speech Recognition']","['PyTorch', 'Kubernetes']",['Not mentioned'],"['Design and deploy models for real-time audio detection', 'Develop GPT-based playbooks and predictive conversation flows']",['Software and Cloud']
Senior,False,"Ph.D. in Computer Science with expertise in Machine Learning, Graph Theory, and related fields","['Python', 'R']","['Graph Machine Learning', 'Statistical Modeling']","['TensorFlow', 'PyTorch', 'Neo4j']",['AWS'],"['Design, develop, and implement machine learning models and algorithms that leverage graph databases', 'Analyze and interpret complex datasets to extract meaningful insights and patterns', 'Optimize and maintain graph databases, focusing on performance and data retrieval efficiency', 'Provide mentorship and guidance to junior machine learning engineers']",['Software and Cloud']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'MLOps']",['Not mentioned'],['Not mentioned'],"['Teach a live, virtual Machine Learning course for 2 hours per week.', 'Guide students through practical ML concepts, algorithms, and real-world applications.', 'Deliver engaging, real-world insights based on your industry experience.', 'Answer questions, provide mentorship, and support students in their learning journey.']",['Education']
Mid-Level,False,"Bachelor’s or Master’s degree in Data Science, Machine Learning, or a related technical field, or 4+ years of relevant professional experience.","['Python', 'C++']","['Computer Vision', 'Statistical Modeling', 'MLOps', 'Time Series Analysis']","['PyTorch', 'TensorFlow', 'JAX', 'Kubeflow', 'Blender', 'Nvidia Omniverse']","['AWS', 'GCP', 'Azure']","['Design, develop, and validate reliable and scalable algorithmic solutions.', 'Research and implement cutting-edge algorithms for challenging space-based applications.', 'Integrate current and future machine learning solutions into production pipelines.', 'Collaborate with end-users and partners in a team-focused, innovative environment.']","['Space', 'Defense']"
Not mentioned,False,Not mentioned,"['Python', 'JavaScript']","['Natural Language Processing', 'Deep Learning', 'Generative AI', 'Recommendation Systems', 'MLOps']","['scikit-learn', 'statsmodels', 'PyTorch', 'Langchain', 'LangGraph', 'Langfuse']",['AWS'],"['Design, develop, and deploy AI/ML solutions using AWS, focusing on Amazon Bedrock, Sagemaker, and related AI services.', 'Implement and optimize Retrieval-Augmented Generation (RAG) systems for client applications.', 'Fine-tune large language models (LLMs) for specific business use cases.', 'Architect scalable, secure, and cost-effective AI infrastructure on AWS.']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree in computer science, engineering, data science, statistics, mathematics, or a related field. Master’s degree preferred.","['Python', 'SQL']","['Statistical Modeling', 'Predictive Modeling', 'Natural Language Processing', 'Computer Vision']","['scikit-learn', 'Keras', 'TensorFlow', 'PyTorch', 'Pandas', 'NumPy', 'NLTK', 'spaCy', 'OpenCV', 'Git']",['Google Cloud Platform'],"['Architect and build robust cloud-based pipelines and ML framework to train, deploy, infer, and monitor machine learning models at scale.', 'Design, develop, and implement predictive models and algorithms to support business objectives.', 'Conduct exploratory data analysis and examine large datasets to uncover trends and opportunities for business improvement.', 'Provide technical guidance and mentorship to other team members.']",['Travel and Hospitality']
Mid-Level,False,BS in Computer Science or related degree; Masters or PhD Preferred,"['Python', 'C++', 'Java', 'Go']","['Supervised Learning', 'Deep Learning', 'Ensemble Learning', 'MLOps']","['SKLearn', 'XGBoost', 'PyTorch', 'Tensorflow', 'Kubernetes', 'Jenkins', 'GitLab', 'GitHub Actions']",['Not mentioned'],"['Design easy-to-use & intuitive APIs & systems for ML experts and non-experts', 'Design and optimize systems to scale up and out ML data and training', 'Collaboratively build and execute a vision for incorporating new advances in machine learning', 'Build operational and release rigor with every feature/bug fix deployments']",['Software and Cloud']
Mid-Level,False,Not mentioned,['Python'],"['Deep Learning', 'Anomaly Detection', 'Predictive Modeling']","['PyTorch', 'TensorFlow', 'Jax']","['AWS', 'GCP']","['Designing and improving model architectures for accuracy and efficiency', 'Evaluating model performance and expanding characterization methods', 'Integrating novel data sources to enhance model performance', 'Designing monitoring systems for anomaly detection in trading strategies']",['Finance']
Senior,False,"Degree in Computer Science, Computer Engineering or relevant technical field","['Python', 'C++']","['Deep Learning', 'Supervised Learning']",['PyTorch'],['Not mentioned'],"['Engineer, design, implement, and improve highly scalable machine learning systems and tools for enabling research', 'Develop deep learning libraries that support large-scale distributed training', 'Open source high quality code and reproducible results for the community', 'Apply knowledge of relevant research domains to platform and framework development projects']",['Consulting']
Mid-Level,False,"Bachelor's degree in Computer Science, Software Engineering, or related field","['Python', 'Golang']",['MLOps'],"['Docker', 'Kubernetes', 'Jenkins', 'GitLab CI', 'Terraform', 'CloudFormation', 'TensorFlow', 'PyTorch', 'Prometheus', 'Grafana', 'Git']","['AWS', 'GCP', 'Azure']","['Design, develop, and maintain AI services in our AI platform', 'Implement and optimize CI/CD pipelines for machine learning model deployment', 'Collaborate with ML Engineers and Applied Scientists to build efficient model serving systems', 'Monitor system performance and implement improvements for scalability']",['Software and Cloud']
Mid-Level,False,Not mentioned,"['Python', 'SQL']","['Supervised Learning', 'Unsupervised Learning', 'MLOps']",['Not mentioned'],['GCP'],"['Contribute to the development of a machine learning platform', 'Design and manage CI/CD pipeline for machine learning product deployment', 'Collaborate with cross-functional teams to deliver AI services', 'Define best practices for machine learning service development']","['Advertising', 'Finance']"
Mid-Level,False,"Ph.D. in Computer Science, Statistics, Engineering, or a related technical field","['Java', 'Python', 'SQL']","['Natural Language Processing', 'Statistical Modeling']","['Spark', 'Hadoop', 'Kafka', 'Hive', 'Not mentioned']",['AWS'],"['Design, implement, and deploy high-performance, scalable machine learning algorithms', 'Develop and enhance large-scale data analytics tools and frameworks', 'Drive innovation by exploring and applying cutting-edge machine learning and data science methodologies']",['Advertising']
Early Career,False,Bachelor's Degree (or currently pursuing) in Computer Science or related technical discipline,"['C', 'C++', 'C#', 'Java', 'JavaScript', 'Python']","['Natural Language Processing', 'Deep Learning']",['Not mentioned'],['Not mentioned'],"['Develop software, tools, and code for AI/ML projects', 'Collaborate with stakeholders to define feature requirements', 'Evaluate AI technologies and architectures', 'Ensure compliance with security, privacy, safety, and accessibility standards']",['Software and Cloud']
Not mentioned,False,"B.S., preferably M.S. or Ph.D in engineering, math, computer science, or related field",['Python'],"['Deep Learning', 'Computer Vision', 'Natural Language Processing', 'Bayesian Modeling']","['NumPy', 'pandas', 'PyTorch', 'TensorFlow', 'Git']",['Not mentioned'],"['Develop software and machine learning algorithms to solve real-world customer problems', 'Work with data, develop algorithms, evaluate results, and write production code', 'Present work to high-level customers in the DoD and industry', 'Publish novel work in both classified and unclassified settings']","['Defense', 'Healthcare']"
Senior,False,"MS/PhD in Computer Science, Machine Learning, or related field preferred",['Python'],"['Natural Language Processing', 'Multimodal Learning', 'MLOps']",['Ray'],['Not mentioned'],"['Design and implement complex LLM applications for enterprise-scale solutions', 'Lead LLM quality evaluation initiatives, including developing metrics and automated testing frameworks', 'Drive LLM/VLM fine-tuning projects, including dataset preparation and optimization', 'Develop and maintain ML pipelines following MLOps best practices']",['Software and Cloud']
Senior,False,Not mentioned,['Python'],"['Predictive Modeling', 'Embedded ML', 'Pattern Recognition']","['PyTorch', 'TensorFlow', 'Scikit-learn']",['Not mentioned'],"['Build and deploy models that drive intelligent engagement', 'Translate ambiguous customer problems into practical machine learning systems', 'Architect infrastructure to support model training, inference, and ongoing experimentation', 'Integrate predictive outputs into existing data pipelines and platform APIs']",['Software and Cloud']
Mid-Level,False,"PhD in Computer Science, Machine Learning (ML), Robotics, or similar technical field of study, or equivalent practical experience","['Python', 'C++']","['Generative AI', 'Deep Learning', 'Simulation-Based Learning', 'Multimodal Learning', 'Computer Vision', 'Robotics']","['PyTorch', 'TensorFlow', 'Jax/Flax']",['Not mentioned'],"['Develop the latest simulation technologies using foundation models for embodied agents', 'Apply deep ML expertise in Generative AI to push the boundaries of simulation realism', ""Collaborate with Waymo's foundational AI research team to transfer research into scalable solutions"", 'Drive innovation in ultra-realistic sensor data and perception simulation for autonomous vehicles']",['Automotive']
Early Career,True,"Currently pursuing a BS/MS degree in Computer Science, Computer Engineering or other relevant majors.","['Go', 'C/C++', 'Python']","['Deep Learning', 'Recommendation Systems', 'Predictive Modeling']","['TensorFlow', 'PyTorch', 'MXNet', 'Spark', 'Hadoop']",['Not mentioned'],"['Participate in the development of a large-scale Ads system.', 'Participate in the development and iteration of Ads algorithms by using Machine Learning.', 'Explore, develop and experiment with new features to improve model accuracy.', 'Partner with product managers and the product strategy & operation team to define product strategy and features.']","['Social Media', 'Advertising']"
Senior,False,Not mentioned,"['Java', 'Python']","['Generative AI', 'Anomaly Detection', 'Time Series Analysis']","['Apache Spark', 'Apache Kafka']",['Not mentioned'],"['Define and implement strategy for AI Ops platform integrating ML algorithms', 'Build systems integrating Observability data with LLMs for issue diagnosis', 'Contribute to a platform processing billions of data points in real time', 'Provide mentorship to early career engineers']",['Entertainment']
Not mentioned,False,"Background in physics, atmospheric science, aerospace, electrical engineering, or a related field",['Python'],"['Predictive Modeling', 'Deep Learning', 'Simulation-Based Learning']","['Keras', 'TensorFlow', 'PyTorch', 'Jax', 'Docker', 'DeepXDE', 'Modulus']",['AWS'],"['Design and deploy machine learning models to analyze and interpret physics-based data.', 'Implement numerical modeling techniques to simulate physical systems.', 'Collaborate with cross-functional teams to translate complex processes into ML solutions.', 'Optimize model performance and scalability for deployment on cloud platforms.']",['Space']
Senior,False,Not mentioned,"['PHP', 'Python', 'Ruby', 'Go', 'C', 'Scala', 'Java']","['Recommendation Systems', 'Generative AI', 'Natural Language Processing']","['PyTorch', 'TensorFlow', 'Keras', 'XGBoost', 'Scikit-learn', 'Apache Spark', 'Hadoop', 'Airflow', 'Dagster', 'Luigi']",['Not mentioned'],"['Develop ML models supporting ranking, retrieval, and generative AI use-cases.', 'Produce high-quality results by leading or contributing heavily to large multi-functional projects.', 'Support in the development of sustainable data collection pipelines and management of ML features.', 'Mentor other engineers and deeply review code.']",['Software and Cloud']
Mid-Level,False,"Masters degree or equivalent experience in a quantitative field (Computer Science, Mathematics, Statistics, Engineering, Artificial Intelligence, etc.)","['Python', 'SQL']","['Recommendation Systems', 'Deep Learning', 'Graph Machine Learning', 'Generative AI']","['Tensorflow', 'PyTorch']",['GCP'],"['Develop and implement advanced ML models to solve critical business problems.', 'Design and deploy scalable generative AI solutions.', ""Enhance PayPal's ability to provide a seamless customer experience."", 'Communicate complex concepts and results to both technical and non-technical audiences.']",['Finance']
Not mentioned,False,"Bachelor’s or Master’s degree in Machine Learning, Artificial Intelligence, Computer Science, or a related field",['Not mentioned'],"['Natural Language Processing', 'Optimization', 'Predictive Modeling']",['Not mentioned'],['Not mentioned'],"['Design and implement AI systems for legal tasks and queries', 'Optimize AI systems by combining multiple models and tools', 'Improve AI reasoning capabilities for complex legal domains', 'Establish frameworks to evaluate AI performance']",['Legal']
Mid-Level,False,"Bachelor’s degree in Computer Engineering, Electrical Engineering, Automotive Engineering, Mechanical Engineering, or a related field. Advanced degrees are preferred.","['Python', 'C++']","['Deep Learning', 'Computer Vision', 'Autonomous Systems']","['PyTorch', 'TensorFlow', 'MXNet']",['Not mentioned'],"['Develop and optimize perception algorithms for Level 2/3 autonomous driving systems using camera and LiDAR data.', 'Design and implement cutting-edge deep learning algorithms for 2D/3D object detection, segmentation, tracking, and multi-task learning.', 'Research and integrate BEV-based transformer models for perception tasks.', 'Test, release, and deploy perception algorithms into Lucid production programs.']",['Automotive']
Mid-Level,False,"Bachelor's degree in Computer Science, Software Engineering, or related field","['Python', 'Golang']",['MLOps'],"['Docker', 'Kubernetes', 'Jenkins', 'GitLab CI', 'Terraform', 'CloudFormation', 'TensorFlow', 'PyTorch', 'Prometheus', 'Grafana', 'Git']","['AWS', 'GCP', 'Azure']","['Design, develop, and maintain AI services in our AI platform that powers all our AI products.', 'Implement and optimize CI/CD pipelines for machine learning model deployment.', 'Collaborate with ML Engineers and Applied Scientists to build efficient model serving systems.', 'Monitor system performance and implement improvements for scalability.']",['Software and Cloud']
Early Career,False,Bachelor's Degree (or currently pursuing a degree) in Computer Science or related technical discipline,"['C', 'C++', 'C#', 'Java', 'JavaScript', 'Python']","['Natural Language Processing', 'Deep Learning']",['Not mentioned'],['Not mentioned'],"['Develop software, tools, and code for AI/ML projects', 'Collaborate with stakeholders to determine user requirements', 'Evaluate AI technologies and architectures', 'Ensure compliance with security, privacy, safety, and accessibility standards']",['Software and Cloud']
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Generative AI', 'Reinforcement Learning', 'Computer Vision']",['Not mentioned'],['Not mentioned'],"['Acquire knowledge of nouvelle technologies in Generative AI for Dynamic Creative Optimization', 'Investigate design approaches and prototype new technologies', 'Collaborate with scientists to design and build data pipelines', 'Develop and maintain platforms for deploying machine learning models']",['Advertising']
Mid-Level,False,"Bachelor's degree in Computer Science, Software Engineering, or related field","['Python', 'Golang']",['MLOps'],"['Docker', 'Kubernetes', 'Jenkins', 'GitLab CI', 'Terraform', 'CloudFormation', 'TensorFlow', 'PyTorch', 'Prometheus', 'Grafana', 'Git']","['AWS', 'GCP', 'Azure']","['Design, develop, and maintain AI services in our AI platform that powers all our AI products.', 'Implement and optimize CI/CD pipelines for machine learning model deployment.', 'Collaborate with ML Engineers and Applied Scientists to build efficient model serving systems.', 'Monitor system performance and implement improvements for scalability.']",['Software and Cloud']
Not mentioned,False,"A background in Physics, Engineering, or equivalent",['Python'],"['Deep Learning', 'Optimization', 'Graph Machine Learning', 'MLOps']","['TensorFlow', 'MLflow', 'Spark', 'Dask', 'Docker', 'Kubernetes']","['AWS', 'Azure', 'GCP']","['Design, build and test data pipelines for machine learning', 'Explore and manipulate 3D point cloud & mesh data', 'Create analytics environments and resources in the cloud or on premise', 'Work at the intersection of data science and software engineering']","['Aerospace', 'Automotive']"
Mid-Level,False,"Bachelor's or Master's degree in Computer Science, Engineering, or a related field",['Not mentioned'],"['Generative AI', 'MLOps']","['Docker', 'Kubernetes', 'Git', 'MLflow', 'Kubeflow']","['AWS', 'GCP', 'Azure']","['Develop AI/ML platform and infrastructure for cybersecurity and observability domains', 'Integrate generative AI solutions into products and services', 'Stay updated with AI/ML advancements and incorporate them into technology roadmap', 'Participate in strategic decisions related to AI directions and product roadmaps']","['Cybersecurity', 'Software and Cloud']"
Early Career,False,"PhD in a quantitative field with 0+ years of relevant experience, Masters in a quantitative field with 2+ years of relevant experience, Bachelors in a quantitative field with 4+ years of relevant experience",['Python'],"['Predictive Modeling', 'Supervised Learning']",['Not mentioned'],['Not mentioned'],"['Increase ML productivity through better software and infrastructure', 'Design and implement code and algorithms to improve model’s predictive power', 'Build repeatable workflows and automation for high leverage tasks', 'Explore new algorithms and methodologies for machine learning models']",['Finance']
Mid-Level,False,"MS (PhD preferred) in Statistics, Applied Mathematics, Computer Science, Econometrics, Computational Biology or related field","['Python', 'R', 'SQL']","['Statistical Modeling', 'Predictive Modeling', 'Optimization', 'Natural Language Processing']","['Jupyter', 'Tableau Software', 'Spark']",['Not mentioned'],"['Gather requirements and implement data modeling and algorithm development', 'Create, customize, and optimize model, metrics, and implementation pipelines', 'Write tests for implementation of machine learning models', 'Identify relationships within large and seemingly unrelated data']","['Advertising', 'Retail']"
Mid-Level,False,"BS in Computer Science, Robotics, a similar technical field of study, or equivalent practical experience","['C++', 'Python', 'TypeScript']","['Autonomous Systems', 'MLOps']",['Not mentioned'],['Not mentioned'],"[""Contribute to Waymo's ML Infra stack, building tooling and systems across the ML development ecosystem"", 'Enable a smoother development experience and faster iteration speed', 'Collaborate with Research, Production, and Hardware teams to power state-of-the-art models in Perception and Planning']",['Automotive']
Mid-Level,False,"Bachelor's or Master's degree in Computer Science, or related technical field",['Python'],"['Generative AI', 'Reinforcement Learning', 'Natural Language Processing']","['PyTorch', 'TensorFlow', 'Langchain', 'LlamaIndex', 'Transformers']","['AWS', 'GCP', 'Azure']","['Design and implement RAG-based solutions to enhance LLM capabilities with external knowledge sources', 'Develop and optimize LLM fine-tuning strategies for specific use cases and domain adaptation', 'Create robust evaluation frameworks for measuring and improving model performance', 'Build and maintain agentic workflows for autonomous AI systems']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree or higher in Computer Science, Data Science, AI, or related fields",['Python'],['MLOps'],"['PyTorch', 'TensorFlow', 'MLflow', 'TensorFlow Serving', 'TorchServe', 'Kubernetes', 'Docker', 'Airflow', 'Kafka']",['AWS'],"['Develop and maintain APIs for ML models', 'Optimize machine learning workloads on the cloud', 'Ensure operational stability and model performance tracking', 'Build MLOps pipelines on AWS and Kubernetes']",['Healthcare']
